,Distrito/R.A.,Município,Freguesia,Inscritos,PS,PPD/PSD.CDS-PP.PPM,CH,IL,B.E.,PCP-PEV,L,PAN,ADN,PPD/PSD.CDS-PP,R.I.R.,JPP,PCTP/MRPP,ND,VP,E,MPT.A,PTP,NC,PPM,Brancos,Nulos,Votos,VP%,L%
0,Aveiro,Águeda,Aguada de Cima,3635,540,805,542,83,80,16,43,13,41,,9,,6,6,2,1,2,,,,34,25,2248,0.08896797153024912,1.9128113879003559
1,Aveiro,Águeda,Águeda e Borralha,11835,2226,2670,1330,401,280,111,150,80,132,,20,,18,16,7,2,3,,,,125,81,7652,0.09147935180345008,1.9602718243596446
2,Aveiro,Águeda,Barrô e Aguada de Baixo,2880,461,718,344,76,48,5,24,23,36,,6,,1,7,1,2,2,,,,31,21,1806,0.05537098560354374,1.3289036544850499
3,Aveiro,Águeda,"Belazaima do Chão, Castanheira do Vouga e Agadão",1326,229,369,217,27,15,6,8,5,16,,3,,3,0,1,0,0,,,,27,11,937,0.10672358591248667,0.8537886872998933
4,Aveiro,Águeda,Fermentelos,2825,221,1005,365,87,43,14,28,22,35,,5,,7,2,3,0,0,,,,29,19,1885,0.15915119363395225,1.4854111405835544
5,Aveiro,Águeda,Macinhata do Vouga,3031,544,532,389,55,63,31,21,30,31,,4,,4,8,3,1,1,,,,24,17,1758,0.17064846416382254,1.1945392491467577
6,Aveiro,Águeda,Préstimo e Macieira de Alcoba,748,129,170,97,14,14,3,9,3,7,,1,,0,0,0,0,0,,,,6,1,454,0.0,1.9823788546255507
7,Aveiro,Águeda,Recardães e Espinhel,5362,1146,1170,678,187,136,43,44,60,49,,6,,9,10,12,3,1,,,,81,42,3677,0.3263530051672559,1.1966276856132716
8,Aveiro,Águeda,Travassô e Óis da Ribeira,2004,413,494,249,79,71,14,23,11,21,,10,,8,2,1,4,0,,,,38,24,1462,0.06839945280437756,1.573187414500684
9,Aveiro,Águeda,"Trofa, Segadães e Lamas do Vouga",4032,800,881,520,122,98,67,56,39,29,,12,,11,8,3,3,1,,,,49,25,2724,0.11013215859030837,2.0558002936857562
10,Aveiro,Águeda,Valongo do Vouga,4258,861,813,554,116,67,48,35,36,43,,9,,8,6,0,1,1,,,,65,31,2694,0.0,1.2991833704528581
11,Aveiro,Albergaria-a-Velha,Albergaria-a-Velha e Valmaior,9744,1353,2318,1326,300,216,70,134,116,109,,34,,15,12,13,1,2,,,,104,74,6197,0.2097789252864289,2.162336614490883
12,Aveiro,Albergaria-a-Velha,Alquerubim,2040,378,468,271,40,39,7,18,13,26,,9,,4,2,2,1,2,,,,28,19,1327,0.15071590052750566,1.356443104747551
13,Aveiro,Albergaria-a-Velha,Angeja,1770,358,346,256,43,38,16,22,15,23,,7,,10,1,0,0,0,,,,23,18,1176,0.0,1.870748299319728
14,Aveiro,Albergaria-a-Velha,Branca,4985,698,1284,706,126,81,33,65,46,71,,9,,12,8,3,6,2,,,,54,33,3237,0.09267840593141798,2.0080321285140563
15,Aveiro,Albergaria-a-Velha,Ribeira de Fráguas,1402,224,422,174,22,30,7,20,10,14,,7,,0,1,0,0,2,,,,19,6,958,0.0,2.0876826722338206
16,Aveiro,Albergaria-a-Velha,São João de Loure e Frossos,2508,403,595,384,64,61,16,29,22,31,,11,,1,2,2,0,0,,,,21,25,1667,0.11997600479904019,1.7396520695860829
17,Aveiro,Anadia,"Amoreira da Gândara, Paredes do Bairro e Ancas",2413,300,706,325,55,40,13,23,17,32,,8,,0,7,2,0,0,,,,26,16,1570,0.12738853503184713,1.464968152866242
18,Aveiro,Anadia,Arcos e Mogofores,5487,893,1308,577,205,137,73,98,76,44,,13,,12,12,4,3,2,,,,79,24,3560,0.11235955056179775,2.752808988764045
19,Aveiro,Anadia,Avelãs de Caminho,1050,176,233,126,26,12,7,11,10,18,,1,,1,1,4,1,1,,,,12,4,644,0.6211180124223602,1.7080745341614907
20,Aveiro,Anadia,Avelãs de Cima,1835,189,584,209,45,16,7,13,8,22,,8,,3,7,3,2,1,,,,28,6,1151,0.26064291920069504,1.1294526498696786
21,Aveiro,Anadia,Moita,2084,310,577,208,58,51,21,23,26,21,,9,,5,2,1,0,0,,,,32,8,1352,0.07396449704142012,1.7011834319526626
22,Aveiro,Anadia,Sangalhos,3506,482,797,467,97,104,41,38,31,27,,14,,6,7,2,2,0,,,,53,32,2200,0.09090909090909091,1.7272727272727273
23,Aveiro,Anadia,São Lourenço do Bairro,2205,306,559,227,64,45,11,19,23,26,,7,,1,2,6,2,0,,,,41,21,1360,0.4411764705882353,1.3970588235294117
24,Aveiro,Anadia,"Tamengos, Aguim e Óis do Bairro",2943,507,731,267,81,60,13,48,34,33,,6,,4,11,3,1,4,,,,51,16,1870,0.16042780748663102,2.5668449197860963
25,Aveiro,Anadia,Vila Nova de Monsarros,1474,269,306,145,43,20,11,10,8,17,,5,,4,3,2,0,0,,,,20,10,873,0.2290950744558992,1.145475372279496
26,Aveiro,Anadia,Vilarinho do Bairro,2586,231,803,306,47,25,10,18,13,32,,7,,4,4,0,0,0,,,,23,17,1540,0.0,1.1688311688311688
27,Aveiro,Arouca,Alvarenga,928,161,282,84,11,10,6,4,5,12,,1,,2,6,0,0,0,,,,7,5,596,0.0,0.6711409395973155
28,Aveiro,Arouca,Arouca e Burgo,4737,867,1290,434,120,90,39,48,52,39,,20,,7,7,3,1,3,,,,67,21,3108,0.09652509652509653,1.5444015444015444
29,Aveiro,Arouca,Cabreiros e Albergaria da Serra,234,40,31,13,1,1,0,0,1,2,,1,,1,0,0,1,1,,,,2,3,98,0.0,0.0
